"ID","Name","Status","Response Time (ms)","Last Checked"
"anthropic","Anthropic","operational","2104","2026-01-01T04:44:40.722Z"
"aws","AWS Bedrock","operational","1304","2026-01-01T04:44:39.984Z"
"azure","Azure OpenAI","operational","1712","2026-01-01T04:44:40.457Z"
"cohere","Cohere","operational","1537","2026-01-01T04:44:40.473Z"
"deepseek","DeepSeek","operational","1288","2026-01-01T04:44:39.906Z"
"google-ai","Google Gemini / AI Studio","operational","1177","2026-01-01T04:44:41.886Z"
"groq","Groq","operational","1602","2026-01-01T04:44:40.474Z"
"mistral","Mistral AI","operational","1484","2026-01-01T04:44:41.130Z"
"openai","OpenAI","operational","1528","2026-01-01T04:44:40.473Z"
"perplexity","Perplexity","operational","1411","2026-01-01T04:44:40.437Z"
"replicate","Replicate","operational","2008","2026-01-01T04:44:40.874Z"
"xai","xAI (Grok)","operational","1704","2026-01-01T04:44:40.456Z"
